study_id,metro_name,dest_airport,dist_mi,verdict,confidence,chosen_freq_wk,chosen_seats,chosen_gauge,margin_pct,fare_down_margin,fuel_down_margin,belf,load_factor,annual_contribution,proposed_share,demand_pax_yr,demand_source,demand_method,implied_vs_anchor_ratio,anchor_2018_pax,share_uncertainty,n_nonstop_incumbents,top_competitor,driver_1,driver_2,driver_service,top_risk,key_assumptions
westjet_yyc,"Sacramento-Roseville-Folsom, CA",SMF,933.9184850994413,PASS,low,3,174,737-8,-15.781271334047874,-36.21326039299751,-27.261780577318977,0.5704470211686945,0.4926936926809705,-632042.1261712704,0.9222682420923238,14501.18719721905,modeled,anchor_x_growth,4.57167672671232,12450.0,True,0,QX,base margin -15.8% vs hurdle 8.0%,modeled share 92% of 15k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),modeled share exceeds 70% with no nonstop incumbent: incomplete competition likely; capped at MONITOR,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Dallas-Fort Worth-Arlington, TX",DFW,1523.0924375522354,PASS,medium,3,174,737-8,-16.726020477100125,-37.32472997305899,-28.91566307827556,0.6799382124207889,0.5825078329935718,-943283.5857235652,0.23542615386929405,67219.11761756695,modeled,anchor_x_growth,2.1028420643141867,57711.0,False,1,UA,base margin -16.7% vs hurdle 8.0%,modeled share 24% of 67k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHL,2003.4375212410864,PASS,medium,3,174,737-8,-92.1068525012508,-126.00806176617739,-112.63722553231887,0.7462204615665303,0.3884403142577497,-3916832.774812779,0.49793202452542046,21175.227569915045,modeled,anchor_x_growth,5.358000198626164,18180.0,False,0,UA,base margin -92.1% vs hurdle 8.0%,modeled share 50% of 21k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Salt Lake City-Murray, UT",SLC,720.2947508103518,PASS,medium,3,174,737-8,-102.86255529711366,-138.6618297613102,-122.32840239749542,0.5196452775558963,0.2561563304745032,-1993502.6264343343,0.2682963207250178,25915.77631631517,modeled,anchor_x_growth,1.7213790075530762,22250.0,False,1,UA,base margin -102.9% vs hurdle 8.0%,modeled share 27% of 26k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Anchorage, AK",ANC,1523.2050315328422,PASS,low,3,174,737-8,-119.47401650446002,-158.20472529936472,-142.3937390557148,0.6799557801916021,0.3098115171085796,-3583704.707931683,1.0,8409.523820395305,modeled,anchor_x_growth,2.341269027162323,7220.0,True,0,,base margin -119.5% vs hurdle 8.0%,modeled share 100% of 8k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),modeled share exceeds 70% with no nonstop incumbent: incomplete competition likely; capped at MONITOR,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Spokane-Spokane Valley, WA",GEG,289.0355643678475,PASS,low,3,174,737-8,-127.20450810548546,-167.29942130057114,-146.29063338565675,0.389975475623652,0.17164072970004451,-1403713.6353045497,1.0,4659.015966978008,modeled,unanchored_capped_at_ceiling,,,True,0,,base margin -127.2% vs hurdle 8.0%,modeled share 100% of 5k pax/yr (unanchored_capped_at_ceiling),best schedule: 3x weekly x 174 seats (737-8),modeled share exceeds 70% with no nonstop incumbent: incomplete competition likely; capped at MONITOR,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Kansas City, MO-KS",MCI,1237.7477968948458,PASS,medium,3,174,737-8,-160.56538316872,-206.54750961025883,-187.2290907908027,0.631665497872428,0.24242111142730544,-3475786.043518667,0.5915707680315986,11123.400621159994,modeled,anchor_x_growth,4.537888418332595,9550.0,False,0,UA,base margin -160.6% vs hurdle 8.0%,modeled share 59% of 11k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
westjet_yyc,"Pittsburgh, PA",PIT,1764.7916252653802,PASS,medium,3,174,737-8,-164.37386120975984,-211.0280720114821,-192.34154746779743,0.7153229368322568,0.2705724891102999,-4589215.436302707,0.5334648383001891,13767.392182420013,modeled,anchor_x_growth,3.699376018389557,11820.0,False,0,UA,base margin -164.4% vs hurdle 8.0%,modeled share 53% of 14k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
westjet_yyc,"St. Louis, MO-IL",STL,1427.3452070929807,PASS,medium,3,174,737-8,-186.98711180085144,-237.63189623629577,-216.775077809626,0.6645987236718038,0.23157789891728237,-4083069.7288563726,0.5029641450397379,12497.810331418506,modeled,anchor_x_growth,5.725108073530262,10730.0,False,0,UA,base margin -187.0% vs hurdle 8.0%,modeled share 50% of 12k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
westjet_yyc,"New Orleans-Metairie, LA",MSY,1902.1410755218478,PASS,medium,3,174,737-8,-198.1639624713659,-250.7811323192539,-229.8997026327266,0.7335500894177606,0.2460223842404184,-5207099.867352127,0.4026282772408325,16586.096842441708,modeled,anchor_x_growth,1.3738819008788867,14240.0,False,0,UA,base margin -198.2% vs hurdle 8.0%,modeled share 40% of 17k pax/yr (anchor_x_growth),best schedule: 3x weekly x 174 seats (737-8),demand anchored to the 2018 StatCan actual scaled by T-100 corridor growth; the 2018 survey is the last transborder O&D truth,transfer factor; fare premium; airport fee proxy
