study_id,metro_name,dest_airport,dist_mi,verdict,confidence,chosen_freq_wk,chosen_seats,chosen_gauge,margin_pct,fare_down_margin,fuel_down_margin,belf,load_factor,annual_contribution,proposed_share,demand_pax_yr,demand_source,demand_method,implied_vs_anchor_ratio,anchor_2018_pax,share_uncertainty,n_nonstop_incumbents,top_competitor,driver_1,driver_2,driver_service,top_risk,key_assumptions
alaska_sea,"Fayetteville-Springdale-Rogers, AR",XNA,1621.881975254082,MONITOR,low,3,178,737-9,0.1739023135683072,-17.442467866390206,-11.139365526087419,0.8567874034519614,0.8582799721804767,13800.201072462281,0.5459248636807338,48177.93273968145,modeled,observed_db1b,,,False,0,AA,base margin 0.2% vs hurdle 8.0%,modeled share 55% of 48k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),gravity x transfer demand estimate; no anchor and no current O&D truth for this market,comparator cost rates; spill cov; fee proxy
alaska_sea,"Des Moines-West Des Moines, IA",DSM,1460.853550463832,PASS,medium,3,178,737-9,-29.731984402618625,-52.62586400308072,-44.31051214956672,0.8076230072159485,0.62253191526734,-1673957.249917505,0.5074581554418928,34150.0,observed,observed_db1b,,,False,0,UA,base margin -29.7% vs hurdle 8.0%,modeled share 51% of 34k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"Springfield, MO",SGF,1623.8528429697803,PASS,low,3,178,737-9,-41.35141871692845,-66.29578672579821,-57.372264086652905,0.6586584878781948,0.465972321931363,-2319683.0942981266,0.8886799511931683,14560.0,observed,observed_db1b,,,True,0,OO,base margin -41.4% vs hurdle 8.0%,modeled share 89% of 15k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),modeled share exceeds 70% with no nonstop incumbent: incomplete competition likely; capped at MONITOR,comparator cost rates; spill cov; fee proxy
alaska_sea,"Grand Rapids-Wyoming-Kentwood, MI",GRR,1802.3144440312524,PASS,medium,3,178,737-9,-43.02531691604229,-68.26507872475564,-59.36419458536258,0.8766129217026271,0.6129075191752312,-2591268.551262085,0.41230203017517214,41360.0,observed,observed_db1b,,,False,0,UA,base margin -43.0% vs hurdle 8.0%,modeled share 41% of 41k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"Albany-Schenectady-Troy, NY",ALB,2349.20218365422,PASS,low,3,178,737-9,-44.74921747524455,-70.29319702969947,-61.57960832692724,0.9712663715119869,0.6709993936085326,-3311535.175887262,0.40712880458862766,46086.70651823503,modeled,observed_db1b,,,False,0,DL,base margin -44.7% vs hurdle 8.0%,modeled share 41% of 46k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),gravity x transfer demand estimate; no anchor and no current O&D truth for this market,comparator cost rates; spill cov; fee proxy
alaska_sea,"Madison, WI",MSN,1617.4155569305867,PASS,medium,3,178,737-9,-48.545423611058425,-74.75932189536285,-65.37640306640562,0.8190744101768841,0.5513965965868425,-2583288.344214141,0.5622574797721763,27240.0,observed,observed_db1b,,,False,0,UA,base margin -48.5% vs hurdle 8.0%,modeled share 56% of 27k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"Little Rock-North Little Rock-Conway, AR",LIT,1780.2464614135183,PASS,medium,3,178,737-9,-49.11185941479876,-75.4257169585868,-66.13067111009836,0.8606182686346385,0.5771628574763956,-2809224.4756624186,0.49823951381366904,32190.0,observed,observed_db1b,,,False,0,AA,base margin -49.1% vs hurdle 8.0%,modeled share 50% of 32k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"El Paso, TX",ELP,1367.8182940878266,PASS,high,3,178,737-9,-58.227114130932655,-86.14954603639137,-75.90815054324554,0.8815795918415121,0.5571608865418645,-2556563.381965461,0.22205291127698615,69700.0,observed,observed_db1b,,,False,1,WN,base margin -58.2% vs hurdle 8.0%,modeled share 22% of 70k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"Rochester, NY",ROC,2160.302571796514,PASS,medium,3,178,737-9,-60.027738420012746,-88.26792755295618,-78.53758231128,0.9794027652829835,0.6120206252696135,-3746259.607349605,0.5649433492377939,30140.0,observed,observed_db1b,,,False,0,AA,base margin -60.0% vs hurdle 8.0%,modeled share 56% of 30k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"Virginia Beach-Chesapeake-Norfolk, VA-NC",ORF,2431.6832630605445,PASS,medium,3,178,737-9,-63.83939037501963,-92.75222397061134,-82.92872716779935,1.0012284010492396,0.6111035928280013,-4297069.964052914,0.25038476101094737,67900.0,observed,observed_db1b,,,False,0,DL,base margin -63.8% vs hurdle 8.0%,modeled share 25% of 68k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
alaska_sea,"Syracuse, NY",SYR,2232.7411754580085,PASS,medium,3,178,737-9,-70.99951481642582,-101.17589978403038,-90.81991246387155,0.9679463673841873,0.5660521133193347,-4262062.607564079,0.4742510221584808,33160.0,observed,observed_db1b,,,False,0,AA,base margin -71.0% vs hurdle 8.0%,modeled share 47% of 33k pax/yr (observed_db1b),best schedule: 3x weekly x 178 seats (737-9),break-even load factor leaves little room below plan,comparator cost rates; spill cov; fee proxy
